entity_id,display_name,cities,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
fa57c45f1f7588531fa1,Anya Brazhnikova,Батуми,author_or_channel,avokinhzarb,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@avokinhzarb,avokinhzarb,3240,nano,original_profile_opened,https://www.youtube.com/@avokinhzarb,https://www.youtube.com/results?search_query=Batumi+events+vlog&hl=ru,https://www.youtube.com/watch?v=5EnzAru4HjM
9f1617808bc4113e062e,Artem Kalchenko,Батуми,author_or_channel,COLDER1236,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@COLDER1236,COLDER1236,1650,nano,original_profile_opened,https://www.youtube.com/@COLDER1236,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=aKmYni2QC1w
58c3209f2e25850912aa,Aussies In Georgia,Батуми,author_or_channel,aussiesingeorgia,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@aussiesingeorgia,aussiesingeorgia,41,nano,original_profile_opened,https://www.youtube.com/@aussiesingeorgia,https://www.youtube.com/results?search_query=Batumi+restaurants+vlog&hl=ru,https://www.youtube.com/watch?v=wAr15JPhI6Y
77235ea511ac19dea13c,Batumi Foreign Look,Батуми,author_or_channel,batumiforeignlook436,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@batumiforeignlook436,batumiforeignlook436,1010,nano,original_profile_opened,https://www.youtube.com/@batumiforeignlook436,https://www.youtube.com/results?search_query=Batumi+beauty+vlog&hl=ru,https://www.youtube.com/watch?v=tcoENjMMaoc
8da348226ee2a003918f,Beautiful life,Батуми,author_or_channel,Mets91,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@Mets91,Mets91,51300,micro,original_profile_opened,https://www.youtube.com/@Mets91,https://www.youtube.com/results?search_query=Batumi+shorts&hl=ru,https://www.youtube.com/watch?v=bI-XaHF4j7U
9589b7f9023644bf0900,Bellaocity Travel,Батуми,author_or_channel,bellaocitytravel6803,manual_only,70,worth_checking,riderra,youtube,https://www.youtube.com/@bellaocitytravel6803,bellaocitytravel6803,929,nano,original_profile_opened,https://www.youtube.com/@bellaocitytravel6803,https://www.youtube.com/results?search_query=Batumi+places+review&hl=ru,https://www.youtube.com/watch?v=OsFG4cwZqzA
8868307a9736d528821a,BOBRIKI,Батуми,author_or_channel,bobrykfilms,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@bobrykfilms,bobrykfilms,102,nano,original_profile_opened,https://www.youtube.com/@bobrykfilms,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%BA%D1%83%D0%B4%D0%B0+%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82%D1%8C&hl=ru,https://www.youtube.com/watch?v=DPDiQ3_T7nU
be0bc6f85a916ed9ef39,BRAVOS COFFEE,"Батуми, Краснодар, Санкт-Петербург",author_or_channel,bravos.coffee,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@bravos.coffee,bravos.coffee,85100,micro,original_profile_opened,https://www.youtube.com/@bravos.coffee,https://www.youtube.com/results?search_query=Batumi+cafe+review&hl=ru,https://www.youtube.com/watch?v=P2l4mEq896Q
631cb80b5796e17f2d1b,briefly.,Батуми,author_or_channel,briefly.,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@briefly.,briefly.,310,nano,original_profile_opened,https://www.youtube.com/@briefly.,https://www.youtube.com/results?search_query=Batumi+kids+activities&hl=ru,https://www.youtube.com/watch?v=xVjm-jiOE8k
0b7d71f94e66186390a5,Budget Retirement Options,Батуми,author_or_channel,BudgetRetirementOptions,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@BudgetRetirementOptions,BudgetRetirementOptions,17100,micro,original_profile_opened,https://www.youtube.com/@BudgetRetirementOptions,https://www.youtube.com/results?search_query=Batumi+expat+vlog&hl=ru,https://www.youtube.com/watch?v=SXvUNMPveyA
