entity_id,display_name,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,lead_seeded,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
8daead5df3a96a642daf,"""Авентура"", агентство событий - организация event мероприятий по всей России.",author_or_channel,Aventura_events,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@Aventura_events,Aventura_events,1130,nano,original_profile_opened,https://www.youtube.com/@Aventura_events,https://www.youtube.com/results?search_query=%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B+%D0%BC%D0%B5%D1%80%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%D0%A1%D0%9F%D0%B1+%D0%B1%D0%BB%D0%BE%D0%B3%D0%B5%D1%80&hl=ru,https://www.youtube.com/watch?v=vwqusUpbsqc
824f6160cc72dbc9c19f,#КарелБежит,author_or_channel,MaksKarjalaShatov,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@MaksKarjalaShatov,MaksKarjalaShatov,12300,micro,original_profile_opened,https://www.youtube.com/@MaksKarjalaShatov,https://www.youtube.com/results?search_query=%D0%BB%D1%83%D1%87%D1%88%D0%B8%D0%B5+%D0%B1%D0%B5%D0%B3+%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3&hl=ru,https://www.youtube.com/watch?v=BcSwVAX71Ng
7e87d9f617804d54e9b7,#КРУГЛОВ_НЕДВИЖИМОСТЬ,author_or_channel,kruglov_nedvizhimost,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@kruglov_nedvizhimost,kruglov_nedvizhimost,15400,micro,original_profile_opened,https://www.youtube.com/@kruglov_nedvizhimost,https://www.youtube.com/results?search_query=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B5%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80+%D0%BC%D0%B5%D1%81%D1%82&hl=ru,https://www.youtube.com/watch?v=NrYAOo1T1v0
ec74e1abf25944be9bcf,#МедиаРакета. Орда Дюжакова,author_or_channel,mediaraketa,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@mediaraketa,mediaraketa,256,nano,original_profile_opened,https://www.youtube.com/@mediaraketa,https://www.youtube.com/results?search_query=%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D1%81+%D0%B4%D0%B5%D1%82%D1%8C%D0%BC%D0%B8&hl=ru,https://www.youtube.com/watch?v=bKmVKKcUGbc
fe365f6e432f3442ac58,#незаконная_торговля #незаконная_торговля,author_or_channel,__-so1nk,manual_only,70,worth_checking,,False,youtube,https://www.youtube.com/@__-so1nk,__-so1nk,10,nano,original_profile_opened,https://www.youtube.com/@__-so1nk,https://www.youtube.com/results?search_query=%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%B1%D0%BB%D0%BE%D0%B3&hl=ru,https://www.youtube.com/watch?v=PA3Ut3AjAl0
c5a1bc85f82d9cc57d0c,#ХОЧУКВАРТИРУ,author_or_channel,zadvizhcom,manual_only,65,worth_checking,,True,youtube,https://www.youtube.com/@zadvizhcom,zadvizhcom,58400,micro,original_profile_opened,https://www.youtube.com/@zadvizhcom,https://www.youtube.com/results?search_query=Legenda+%D0%9E%D0%BF%D1%82%D0%B8%D0%BA%D0%BE%D0%B2+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=zwW814rJ5RM
dc1c8801d71b7b2a11fa,#����������,community,iwantto_petersburg,manual_only,61,needs_manual_review,,False,vk,https://vk.com/iwantto_petersburg,iwantto_petersburg,,unknown,original_profile_opened,https://vk.com/iwantto_petersburg,https://www.yapokupayu.ru/blogs/post/interesnye-pabliki-o-sankt-peterburge,
de4562f4850af548ed08,26 Колесо,author_or_channel,26koleso,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@26koleso,26koleso,21500,micro,original_profile_opened,https://www.youtube.com/@26koleso,https://www.youtube.com/results?search_query=%D0%B2%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D1%8B+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=SrhfaGlHj6U
15c160ba2982385b6ee1,33 ЗУБ Стоматология СПБ,author_or_channel,33zubstomatology,manual_only,70,worth_checking,,True,youtube,https://www.youtube.com/@33zubstomatology,33zubstomatology,116,nano,original_profile_opened,https://www.youtube.com/@33zubstomatology,https://www.youtube.com/results?search_query=33-%D0%B9+%D0%97%D1%83%D0%B1+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=KOnHyUq_yAs
d95d1e760fc3dd5f3f95,8 КАНАЛ КРАСНОЯРСКИЙ КРАЙ,author_or_channel,8kanal,manual_only,65,worth_checking,,False,youtube,https://www.youtube.com/@8kanal,8kanal,29600,micro,original_profile_opened,https://www.youtube.com/@8kanal,https://www.youtube.com/results?search_query=%D0%BA%D0%BE%D0%BD%D1%86%D0%B5%D1%80%D1%82%D1%8B+%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3+%D0%BE%D0%B1%D0%B7%D0%BE%D1%80&hl=ru,https://www.youtube.com/watch?v=K1MIi3Vr6S8
