candidate_id,display_name,primary_handle,city,audience_band,contactability,platform,canonical_url,follower_count,source_url
d6faa8bb0afb6a86bb29,Sergey Petrov,seregapetrov,Краснодар,micro,manual_only,instagram,https://www.instagram.com/seregapetrov,16000,https://www.instagram.com/seregapetrov
d6faa8bb0afb6a86bb29,Sergey Petrov,seregapetrov,Краснодар,micro,manual_only,tiktok,https://www.tiktok.com/@seregapetrov,,https://www.tiktok.com/@seregapetrov
43931e96eaaf31b8e4de,Анастасия Ахмедова /Лазаренко/,_nastya.lazarenko,Краснодар,micro,manual_only,instagram,https://www.instagram.com/_nastya.lazarenko,19000,https://www.instagram.com/_nastya.lazarenko
d4cc6f0feb71b27ff126,Андрей Алексеенко,alekseenko_krd,Краснодар,micro,manual_only,instagram,https://www.instagram.com/alekseenko_krd,11000,https://www.instagram.com/alekseenko_krd
7b5dd88c356355e622c7,Андрей Панжин,panzhin77,Краснодар,micro,manual_only,instagram,https://www.instagram.com/panzhin77,45000,https://www.instagram.com/panzhin77
7b5dd88c356355e622c7,Андрей Панжин,panzhin77,Краснодар,micro,manual_only,threads,https://www.threads.com/@panzhin77,405,https://threadlook.com/profile/panzhin77
80694f3ca50322120a46,АНИ | ПСИХОЛОГ | ИСКУССТВО ФЛИРТА | ПСИХОЛОГИЯ ОТНОШЕНИЙ,an.ni_gray,Краснодар,mid,manual_only,instagram,https://www.instagram.com/an.ni_gray,143000,https://www.instagram.com/an.ni_gray
80694f3ca50322120a46,АНИ | ПСИХОЛОГ | ИСКУССТВО ФЛИРТА | ПСИХОЛОГИЯ ОТНОШЕНИЙ,an.ni_gray,Краснодар,mid,manual_only,threads,https://www.threads.com/@an.ni_gray,6900,https://threadlook.com/profile/an.ni_gray
f0577e9ec60f1df84e67,Анна Бершадская,bershadskaya,Краснодар,mid,manual_only,instagram,https://www.instagram.com/bershadskaya,170000,https://www.instagram.com/bershadskaya
f0577e9ec60f1df84e67,Анна Бершадская,bershadskaya,Краснодар,mid,manual_only,threads,https://www.threads.com/@bershadskaya,6400,https://threadlook.com/profile/bershadskaya
d6bb146232070aaadb9d,АХРА САМАНДЖИЯ | хореограф,axra_saz,Краснодар,micro,manual_only,instagram,https://www.instagram.com/axra_saz,17000,https://www.instagram.com/axra_saz
f4415843c02b56c974ce,Вадим КУЛАГА | уникальная керамика,vadim_kulaga,Краснодар,mid,manual_only,instagram,https://www.instagram.com/vadim_kulaga,107000,https://www.instagram.com/vadim_kulaga
f4415843c02b56c974ce,Вадим КУЛАГА | уникальная керамика,vadim_kulaga,Краснодар,mid,manual_only,threads,https://www.threads.com/@vadim_kulaga,2000,https://threadlook.com/profile/vadim_kulaga
e458ea06c20f10198fbf,Косметолог📍Майкоп📍Краснодар,dr_zaira_sheudzhen,Краснодар,micro,manual_only,instagram,https://www.instagram.com/dr_zaira_sheudzhen,15000,https://www.instagram.com/dr_zaira_sheudzhen
e458ea06c20f10198fbf,Косметолог📍Майкоп📍Краснодар,dr_zaira_sheudzhen,Краснодар,micro,manual_only,threads,https://www.threads.com/@dr_zaira_sheudzhen,1100,https://threadlook.com/profile/dr_zaira_sheudzhen
99dc3801f3811806f44b,КРАСНОДАР,irene_attitude,Краснодар,micro,manual_only,instagram,https://www.instagram.com/irene_attitude,10000,https://www.instagram.com/irene_attitude
99dc3801f3811806f44b,КРАСНОДАР,irene_attitude,Краснодар,micro,manual_only,threads,https://www.threads.com/@irene_attitude,553,https://threadlook.com/profile/irene_attitude
f821b14b7dc7d8cef4ba,Лариса Титоян,larisa_titoyan,Краснодар,mid,manual_only,instagram,https://www.instagram.com/larisa_titoyan,144000,https://www.instagram.com/larisa_titoyan
2a88ea787fc3f091b8cc,Лили Кецман,lili.ketsman,Краснодар,micro,manual_only,instagram,https://www.instagram.com/lili.ketsman,62000,https://www.instagram.com/lili.ketsman
2a88ea787fc3f091b8cc,Лили Кецман,lili.ketsman,Краснодар,micro,manual_only,threads,https://www.threads.com/@lili.ketsman,1200,https://threadlook.com/profile/lili.ketsman
9222306fc588d96f1da4,Машталир Наталья,smenila_imya,Краснодар,micro,manual_only,instagram,https://www.instagram.com/smenila_imya,10000,https://www.instagram.com/smenila_imya
9222306fc588d96f1da4,Машталир Наталья,smenila_imya,Краснодар,micro,manual_only,threads,https://www.threads.com/@smenila_imya,944,https://threadlook.com/profile/smenila_imya
926c71d203c7591038df,Милена🧿🤞🏻 | Модель ? 📍Krd,ssseallorredd,Краснодар,micro,manual_only,instagram,https://www.instagram.com/ssseallorredd,13000,https://www.instagram.com/ssseallorredd
926c71d203c7591038df,Милена🧿🤞🏻 | Модель ? 📍Krd,ssseallorredd,Краснодар,micro,manual_only,tiktok,https://www.tiktok.com/@ssseallorredd,,https://www.tiktok.com/@ssseallorredd
cb56e8faad8a262b7dfb,Мурат Калакуток,murat_kalakutok,Краснодар,micro,manual_only,instagram,https://www.instagram.com/murat_kalakutok,53000,https://www.instagram.com/murat_kalakutok
b9caaedd73a68c8974ac,НАТАЛИ - TOP 🔝 МАКИЯЖ ВИЗАЖИСТ ОБУЧЕНИЕ КРАСНОДАР,naberri_makeup,Краснодар,mid,manual_only,instagram,https://www.instagram.com/naberri_makeup,118000,https://www.instagram.com/naberri_makeup
b9caaedd73a68c8974ac,НАТАЛИ - TOP 🔝 МАКИЯЖ ВИЗАЖИСТ ОБУЧЕНИЕ КРАСНОДАР,naberri_makeup,Краснодар,mid,manual_only,threads,https://www.threads.com/@naberri_makeup,1800,https://threadlook.com/profile/naberri_makeup
12c57b7e231c7b5ba105,Обучаю съемке Reels на смартфон.,mitopro,Краснодар,mid,manual_only,instagram,https://www.instagram.com/mitopro,100000,https://www.instagram.com/mitopro
12c57b7e231c7b5ba105,Обучаю съемке Reels на смартфон.,mitopro,Краснодар,mid,manual_only,threads,https://www.threads.com/@mitopro,1300,https://threadlook.com/profile/mitopro
c52c579ba96b4614b50b,Отари Бадров,otarrri,Краснодар,micro,manual_only,instagram,https://www.instagram.com/otarrri,14000,https://www.instagram.com/otarrri
c52c579ba96b4614b50b,Отари Бадров,otarrri,Краснодар,micro,manual_only,threads,https://www.threads.com/@otarrri,501,https://threadlook.com/profile/otarrri
c52c579ba96b4614b50b,Отари Бадров,otarrri,Краснодар,micro,manual_only,tiktok,https://www.tiktok.com/@otarrri,,https://www.tiktok.com/@otarrri
225550ffa89801cefda6,ПРИГЛАСИТЕЛЬНЫЕ / ОБУЧЕНИЕ / БУКЕТЫ / СВАДЕБНАЯ АТРИБУТИКА,naira_events_,Краснодар,mid,manual_only,instagram,https://www.instagram.com/naira_events_,147000,https://www.instagram.com/naira_events_
a7251639956fd4390ced,Сюзанна ♌️Саруханян,suzanna_sarukhanyan,Краснодар,micro,manual_only,instagram,https://www.instagram.com/suzanna_sarukhanyan,47000,https://www.instagram.com/suzanna_sarukhanyan
a7251639956fd4390ced,Сюзанна ♌️Саруханян,suzanna_sarukhanyan,Краснодар,micro,manual_only,threads,https://www.threads.com/@suzanna_sarukhanyan,1900,https://threadlook.com/profile/suzanna_sarukhanyan
39b82c7d83fd78c6a0a8,🄴🄻🄸🅉🄰🅅🄴🅃🄰,lizlizaaaaa,Краснодар,micro,manual_only,instagram,https://www.instagram.com/lizlizaaaaa,42000,https://www.instagram.com/lizlizaaaaa
39b82c7d83fd78c6a0a8,🄴🄻🄸🅉🄰🅅🄴🅃🄰,lizlizaaaaa,Краснодар,micro,manual_only,tiktok,https://www.tiktok.com/@lizlizaaaaa,,https://www.tiktok.com/@lizlizaaaaa
a95d125fe19a8be95439,🔥Перевяз Газ🔥,_perevyaz_,Краснодар,micro,manual_only,instagram,https://www.instagram.com/_perevyaz_,72000,https://www.instagram.com/_perevyaz_
a95d125fe19a8be95439,🔥Перевяз Газ🔥,_perevyaz_,Краснодар,micro,manual_only,threads,https://www.threads.com/@_perevyaz_,348,https://threadlook.com/profile/_perevyaz_
95132eae5b2a0914140e,Alexandra Shadkam,abletodothis,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/abletodothis,46000,https://www.instagram.com/abletodothis
99a0c751281ee90ae335,Alfiya Berezovskaya 🕊️🤍,alfiyagram,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/alfiyagram,49000,https://www.instagram.com/alfiyagram
99a0c751281ee90ae335,Alfiya Berezovskaya 🕊️🤍,alfiyagram,Санкт-Петербург,micro,manual_only,tiktok,https://www.tiktok.com/@alfiyagram,,https://www.tiktok.com/@alfiyagram
341400bcd4ff38da508f,Dmitrylavrov,dmitrylavrov,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/dmitrylavrov,33000,https://www.instagram.com/dmitrylavrov
341400bcd4ff38da508f,Dmitrylavrov,dmitrylavrov,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@dmitrylavrov,2200,https://threadlook.com/profile/dmitrylavrov
3edbc92a9fcc1eac175e,glass.gorodok,glass.gorodok,Санкт-Петербург,nano,manual_only,instagram,https://www.instagram.com/glass.gorodok,0,https://www.instagram.com/glass.gorodok
eef2cf2e9e2af7625705,IVAN POKIDYSHEV,pokidyshev_art,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/pokidyshev_art,64000,https://www.instagram.com/pokidyshev_art
eef2cf2e9e2af7625705,IVAN POKIDYSHEV,pokidyshev_art,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@pokidyshev_art,1600,https://threadlook.com/profile/pokidyshev_art
7ae975823d700c78f521,my name is art,azrtusa,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/azrtusa,45000,https://www.instagram.com/azrtusa
ea46fb0e9c7fc118d0fc,Polli Zelenina,polli.zelenina,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/polli.zelenina,45000,https://www.instagram.com/polli.zelenina
ea46fb0e9c7fc118d0fc,Polli Zelenina,polli.zelenina,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@polli.zelenina,1400,https://threadlook.com/profile/polli.zelenina
cf50fb2f42291d1fba6f,Vladislav Ivanov,lineysfilm,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/lineysfilm,65000,https://www.instagram.com/lineysfilm
cf50fb2f42291d1fba6f,Vladislav Ivanov,lineysfilm,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@lineysfilm,12200,https://threadlook.com/profile/lineysfilm
cf50fb2f42291d1fba6f,Vladislav Ivanov,lineysfilm,Санкт-Петербург,micro,manual_only,tiktok,https://www.tiktok.com/@lineysfilm,,https://www.tiktok.com/@lineysfilm
8ea92495ab37aca40085,Александр Ерохин,erokhin___alexander,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/erokhin___alexander,44000,https://www.instagram.com/erokhin___alexander
a833b58b3decb0d0acc2,Алексей Шишкин. Журналист,stadter,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/stadter,22000,https://www.instagram.com/stadter
a833b58b3decb0d0acc2,Алексей Шишкин. Журналист,stadter,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@stadter,2500,https://threadlook.com/profile/stadter
d331842df035b0a5c435,"Алина | лайфстайл контент-креатор, стиль, Петербург",bulaavina,Санкт-Петербург,micro,manual_only,instagram,https://www.instagram.com/bulaavina,41000,https://www.instagram.com/bulaavina
d331842df035b0a5c435,"Алина | лайфстайл контент-креатор, стиль, Петербург",bulaavina,Санкт-Петербург,micro,manual_only,threads,https://www.threads.com/@bulaavina,2500,https://threadlook.com/profile/bulaavina
